yearmo,SENT,SENT_ORTH,pdnd,ripo,nipo,cefd,s,indpro,consdur,consnon,consserv,recess,employ,cpi
202202,2.068915129,1.675846219,-12.19667816,87.9,34,1.109375,0.134377345,101.6765976,2111.600098,3740,11148.09961,0,150876,284.5350037
202203,1.825240254,1.388806462,-12.14250374,2.7,14,-1.159999967,0.113861874,102.4779968,2116.399902,3834.199951,11253,0,151370,287.553009
202204,1.368416071,0.706060827,3.294030428,159.2,17,1.567499995,0.110708438,102.7953033,2142.800049,3841.5,11326.2002,0,151642,288.7640076
202205,1.245191336,1.470605373,6.447247982,6.4,15,2.414999962,0.104751177,102.7769012,2110,3882.800049,11392.09961,0,151928,291.3590088
202206,1.177308083,1.50428164,6.965662956,61.9,9,4.125625134,0.095815063,102.6863022,2116,3950.300049,11483.7002,0,152348,294.9960022
202207,1.010980606,1.41115427,3.445358038,126.6,4,3.93187499,0.08599963,103.1327972,2126.699951,3898.399902,11531.2998,0,153038,294.9769897
202208,1.107036591,1.457735419,2.790461779,19.4,19,1.909374952,0.08552698,103.2343979,2146.300049,3898.399902,11647.5,0,153281,295.2090149
202209,0.978006899,1.278664827,3.652924538,-9,11,3.476249933,0.075435139,103.5282974,2156.399902,3914.300049,11733.2998,0,153536,296.3410034
202210,0.887896359,1.130180717,7.511865139,14.2,6,3.089999914,0.065133438,103.4113998,2172.100098,3942.199951,11800.7998,0,153897,297.8630066
202211,0.642957032,0.905373156,10.56090546,-10.9,5,5.089375019,0.049528897,103.0707016,2111.5,3922.199951,11858.90039,0,154155,298.6480103
202212,0.287088573,0.52488184,13.9368515,-18.1,7,6.590000153,0.04805389,101.4848022,2103.399902,3891.600098,11948.5,0,154291,298.8120117
202301,0.215324968,0.345362544,8.624135971,0.3,8,6.803124905,0.041287724,102.5477982,2213.699951,3934.5,12081.40039,0,154773,300.3559875
202302,0.326214969,0.500220239,8.039938927,4.4,14,5.726874828,0.042790622,102.5671005,2203.600098,3960.600098,12132.40039,0,155060,301.5090027
202303,0.276835263,0.662359178,7.816079617,1.6,18,7.610000134,0.046387807,102.6592026,2167.300049,3921.899902,12193.40039,0,155206,301.743988
202304,-0.117468745,0.278307587,9.319826126,143,15,8.089374542,0.043674223,103.1511993,2183.699951,3955.399902,12224.7002,0,155484,303.0320129
202305,-0.238203973,0.042159345,4.579204559,21.3,9,8.414999962,0.047931682,102.9240036,2202.800049,3941.899902,12263,0,155787,303.3649902
202306,-0.226543069,-0.000786199,4.668848991,16.7,9,7.931250095,0.049680647,102.3002014,2194.199951,3955.899902,12335.2998,0,156027,304.0029907
202307,-0.037569225,0.059022218,3.606325388,12,14,7.623125076,0.051261112,103.1900024,2206.899902,3981.300049,12407.2002,0,156211,304.6279907
202308,-0.041535281,0.148578718,4.472099304,-6.2,12,8.114999771,0.049714074,103.1140976,2193.100098,4035.5,12422.90039,0,156421,306.1870117
202309,-0.036614653,0.195212394,5.064116955,3.3,17,7.429999828,0.051208418,103.2974014,2213.399902,4065,12513,0,156667,307.2879944
202310,-0.064110257,0.211012483,7.826862812,-13.5,14,9.710000038,0.050020985,102.5682983,2191.100098,4059.699951,12576.09961,0,156832,307.5310059
202311,-0.352550328,-0.093859397,5.292556286,-15.7,15,9.645625114,0.049242292,102.9048996,2195.699951,4046.699951,12660.5,0,157014,308.0239868
202312,-0.405537456,-0.181039304,2.984476566,,7,10.46249962,0.045154653,102.5743027,2219.800049,4054,12739.90039,0,157304,308.7420044
