Date,Close/Last,Open,High,Low,RSI
2020-04-16,2799.55,2799.34,2806.51,2764.32,78.11445626784305
2020-04-17,2874.56,2842.43,2879.22,2830.88,70.06343479019965
2020-04-20,2823.16,2845.62,2868.98,2820.43,67.94399410464254
2020-04-21,2736.56,2784.81,2785.54,2727.1,63.75172911529441
2020-04-22,2799.31,2787.89,2815.1,2775.95,67.79588565321936
2020-04-23,2797.8,2810.42,2844.9,2794.26,66.9608595548734
2020-04-24,2836.74,2812.64,2842.71,2791.76,70.85871772555842
2020-04-27,2878.48,2854.65,2887.72,2852.89,76.51371443219688
2020-04-28,2863.39,2909.96,2921.15,2860.71,76.8090581574886
2020-04-29,2939.51,2918.46,2954.86,2912.16,75.41600741993578
2020-04-30,2912.43,2930.91,2930.91,2892.47,71.77682974126013
2020-05-01,2830.71,2869.09,2869.09,2821.61,67.3126533694081
2020-05-04,2842.74,2815.01,2844.24,2797.85,66.58734242346294
2020-05-05,2868.44,2868.88,2898.23,2863.55,70.17624433090326
2020-05-06,2848.42,2883.14,2891.11,2847.65,74.27233544404845
2020-05-07,2881.19,2878.26,2901.92,2876.48,88.85364252898724
2020-05-08,2929.8,2908.83,2932.16,2902.88,93.544705136335
2020-05-11,2930.32,2915.46,2944.25,2903.44,92.03127599401103
2020-05-12,2870.12,2939.5,2945.82,2869.59,77.57294004488617
2020-05-13,2820.0,2865.86,2874.14,2793.15,77.31198053922562
2020-05-14,2852.5,2794.54,2852.8,2766.64,68.3407581743297
2020-05-15,2863.7,2829.95,2865.01,2816.78,61.76425150625678
2020-05-18,2953.91,2913.86,2968.09,2913.86,63.4454432734036
2020-05-19,2922.94,2948.59,2964.21,2922.35,54.20427383967752
2020-05-20,2971.61,2953.63,2980.29,2953.63,53.78026334418795
2020-05-21,2948.51,2969.95,2978.5,2938.57,57.60698861405573
2020-05-22,2955.45,2948.05,2956.76,2933.59,52.216337666506156
2020-05-26,2991.77,3004.08,3021.72,2988.17,44.50065328821732
2020-05-27,3036.13,3015.65,3036.25,2969.75,45.952823725163974
2020-05-28,3029.73,3046.61,3068.67,3023.4,44.81311213272042
2020-05-29,3044.31,3025.17,3049.17,2998.61,37.22622205380832
2020-06-01,3055.73,3038.78,3062.18,3031.54,30.151617457491938
2020-06-02,3080.82,3064.78,3081.07,3051.64,36.343009676343144
2020-06-03,3122.87,3098.9,3130.94,3098.9,34.069275515600296
2020-06-04,3112.35,3111.56,3128.91,3090.41,35.81405044819684
2020-06-05,3193.93,3163.84,3211.72,3163.84,32.97821288031491
2020-06-08,3232.39,3199.92,3233.13,3196.0,30.8337475149106
2020-06-09,3207.18,3213.32,3222.71,3193.11,40.308850985728334
2020-06-10,3190.14,3213.42,3223.27,3181.49,40.55009072676922
2020-06-11,3002.1,3123.53,3123.53,2999.49,33.08234540211477
2020-06-12,3041.31,3071.04,3088.42,2984.47,35.87618403247633
2020-06-15,3066.59,2993.76,3079.76,2965.66,38.72889771598811
2020-06-16,3124.74,3131.0,3153.45,3076.06,36.08819503532982
2020-06-17,3113.49,3136.13,3141.16,3108.03,31.78464919164965
2020-06-18,3115.34,3101.64,3120.0,3093.51,24.487915218028746
2020-06-19,3097.74,3140.29,3155.53,3083.11,43.18403365655951
2020-06-22,3117.86,3094.42,3120.92,3079.39,40.83453544905686
2020-06-23,3131.29,3138.7,3154.9,3127.12,44.25566785031417
2020-06-24,3050.33,3114.4,3115.01,3032.13,43.78208939090962
2020-06-25,3083.76,3046.6,3086.25,3024.01,59.73640379462667
2020-06-26,3009.05,3073.2,3073.73,3004.63,65.08086785009868
2020-06-29,3053.24,3018.59,3053.89,2999.74,62.402310567448176
2020-06-30,3100.29,3050.2,3111.51,3047.83,65.91112703816528
2020-07-01,3115.86,3105.92,3128.44,3101.17,83.97468100070344
2020-07-02,3130.01,3143.64,3165.81,3124.52,70.67366579177609
2020-07-06,3179.72,3155.29,3182.59,3155.29,70.64284463128402
2020-07-07,3145.32,3166.44,3184.15,3142.93,70.54999121419792
2020-07-08,3169.94,3153.07,3171.8,3136.53,72.67750357955019
2020-07-09,3152.05,3176.17,3179.78,3115.7,78.0432213405368
2020-07-10,3185.04,3152.47,3186.82,3136.22,71.97198275862051
2020-07-13,3155.22,3205.08,3235.32,3149.43,78.79331430900929
2020-07-14,3197.52,3141.11,3200.95,3127.66,81.0187550171494
2020-07-15,3226.56,3225.98,3238.28,3200.76,86.19118798490992
2020-07-16,3215.57,3208.36,3220.39,3198.59,78.63905325443777
2020-07-17,3224.73,3224.21,3233.52,3205.65,82.0038739214649
2020-07-20,3251.84,3224.29,3258.61,3215.16,78.51331120223908
2020-07-21,3257.3,3268.52,3277.29,3247.77,58.023978044200454
2020-07-22,3276.02,3254.86,3279.32,3253.1,61.818420706871564
2020-07-23,3235.66,3271.64,3279.99,3222.66,64.42263806481053
2020-07-24,3215.63,3218.58,3227.26,3200.05,63.814452042136324
2020-07-27,3239.41,3219.84,3241.43,3214.25,63.32474830250523
2020-07-28,3218.44,3234.27,3243.72,3216.17,64.65065896371186
2020-07-29,3258.44,3227.22,3264.74,3227.22,62.92691883951517
2020-07-30,3246.22,3231.76,3250.92,3204.13,65.95134702137526
2020-07-31,3271.12,3270.45,3272.17,3220.26,62.01674348603138
2020-08-03,3294.61,3288.26,3302.73,3284.53,65.47094788148272
2020-08-04,3306.51,3296.6,3306.84,3286.37,62.28665970045282
2020-08-05,3327.77,3317.37,3330.77,3317.37,59.8302036719502
2020-08-06,3349.16,3323.17,3351.03,3318.14,51.835925972766745
2020-08-07,3351.28,3340.05,3352.54,3328.72,51.659524409713484
2020-08-10,3360.47,3356.04,3363.29,3335.44,63.143840188979624
2020-08-11,3333.69,3370.34,3381.01,3326.44,60.84133566128334
2020-08-12,3380.35,3355.46,3387.89,3355.46,60.99108461412241
2020-08-13,3373.43,3372.95,3387.24,3363.35,60.60984889661916
2020-08-14,3372.85,3368.66,3378.51,3361.64,57.50298753769983
2020-08-17,3381.99,3380.86,3387.59,3379.22,54.78597808318699
2020-08-18,3389.78,3387.04,3395.06,3370.15,59.982273432306634
2020-08-19,3374.85,3392.51,3399.54,3369.66,51.99485199485204
2020-08-20,3385.51,3360.48,3390.8,3354.69,51.055707980436594
